Institution Name,Product Name,Report Date,Availability of Credit Card Plan,State,State (Multiple),Pertains to Specific Counties?,Requirements for Opening,Requirements for Opening Types,Geographic Restrictions,Professional Affiliation,Requirements: Other,Secured Card,Targeted Credit Tiers,Purchase APR Offered?,Purchase APR Vary by Balance,Balance Range (From),Balance Range (To),APR - 2nd Tier,Balance Range (From) - 2nd Tier,Balance Range (To) - 2nd Tier,APR - 3rd Tier,Balance Range (From) - 3rd Tier,Balance Range (To) - 3rd Tier,APR - 4th Tier,Balance Range (From) - 4th Tier,Balance Range (To) - 4th Tier,Purchase APR Index,Variable Rate Index,Index,Purchase APR Vary by Credit Tier,Poor or Fair Credit,Good Credit,Great Credit,Minimum APR,Median APR,Maximum APR,Introductory APR Offered?,Introductory APR Vary By Credit Tier,Poor or Fair Credit,Good Credit,Great Credit,Minimum APR,Median APR,Maximum APR,Median Length of Introductory APR,Balance Transfer Offered?,Balance Transfer APR Vary by Credit Tier,Poor or Fair Credit,Good Credit,Great Credit,Minimum APR,Median APR,Maximum APR,Median Length of Balance Transfer APR,Balance Transfer Grace Period,Cash Advance APR Offered?,Cash Advance APR Vary by Credit Tier,Poor or Fair Credit,Good Credit,Great Credit,Minimum APR,Median APR,Maximum APR,Grace Period Offered?,Grace Period,Minimum Finance Charge?,Minimum Finance Charge (Dollars),Balance Computation Method,Balance Computation Method Details,Periodic Fee Type,Annual Fee,Monthly Fee,Weekly Fee,Other Periodic Fee Name,Other Periodic Fee Amount,Other Periodic Fee Frequency,Fee Varies?,Minimum,Maximum,Fee Explanation,Purchase Transaction Fees,Purchase Transaction Fee Type,Purchase Transaction Fee ($),Purchase Transaction Fee (%),Minimum Purchase Transaction Fee Amount,Purchase Transaction Fee Calculation,Fee Varies?,Minimum,Maximum,Fee Explanation,Balance Transfer Fees?,Balance Transfer Fee Types,Balance Transfer Fee ($),Balance Transfer Fee (%),Minimum Balance Transfer Fee Amount,Balance Transfer Fee Calculation,Fee Varies?,Minimum,Maximum,Fee Explanation,Cash Advance Fees?,Cash Advance Fee For Each Transaction,Cash Advance Fee Types,Amount (Dollars) - Transaction Fee,Amount (Percent) - Transaction Fee,Minimum Cash Advance Fee Amount,Cash Advance Fee Calculation,Fee Varies?,Minimum,Maximum,Fee Explanation,Foreign Transaction Fees?,Foreign Transaction Fees Types,Foreign Transaction Fee ($),Foreign Transaction Fee (%),Minimum Foreign Transaction Fee Amount,Foreign Transaction Fee Calculation,Fee Varies?,Minimum,Maximum,Fee Explanation,Late Fees?,Late Fee Types,Amount (Dollars) - Late Payment Fee,Late Fee Six Month Billing Cycle,Late Fee Policy Details,Fee Varies?,Minimum,Maximum,Fee Explanation,Over Limit Fees?,Over Limit Fee Types,Amount (Dollars) - Over Credit Limit,Overlimit Fee Detail,Fee Varies?,Minimum,Maximum,Fee Explanation,Other Fees,Additional Fees,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name,Other Fee Amount,Other Fee Explanation,Fee Varies?,Minimum,Maximum,Fee Explanation,Services,Other Services,Rewards,Other Rewards,Card Features,Other Card Features,Contact Information Types,Website for Consumer,Telephone Number for Consumers,Created Date
FNBT BANK,MasterCard,Data as of December 31,National,,,,No,,,,,No,Good credit (credit scores from 620 to 719),Yes,No,,,,,,,,,,,,No,,F,,,,,14.90%,14.90%,18.00%,No,,,,,,,,,Yes,No,,,,14.90%,14.90%,18.00%,0,No,Yes,No,,,,14.90%,14.90%,18.00%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,3.00%,,3% of transfer amount,,,,,Yes,No,"2. If the fee is a percentage of transaction amount, what is it?",,2.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?,$10.00 ,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,Cashback rewards,,Chip card,,Phone; Website,https:www.fnbt.com,1-800-899-4321,3/21/2023
WINTHROP AREA FEDERAL CREDIT UNION,Visa Credit Platinum,Data as of December 31,National,,,,No,,,,,No,Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,No,,F,,,,,11.50%,11.50%,11.50%,No,,,,,,,,,Yes,No,,,,11.50%,0.00%,11.50%,6,Yes,Yes,No,,,,11.50%,11.50%,11.50%,Yes,25,Yes,$0.01 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,Yes,1. What is the amount of the overlimit fee when charged?,$20.00 ,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,Cashback rewards; Travel-related rewards,,Contactless Payments; Chip card; Fee-free foreign transactions,,Phone; Website,https://www.winthropcreditunion.org,800-511-1120,3/21/2023
WOORI AMERICA BANK,Classic,Data as of December 31,National,,,,Yes,,,,,No,Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,20.99%,20.99%,20.99%,No,,,,,,,,,Yes,No,,,,20.99%,20.99%,20.99%,6,Yes,Yes,No,,,,24.99%,24.99%,24.99%,Yes,6,Yes,$0.50 ,Average daily balance excluding new purchases,,Annual,$50.00 ,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$5.00 ,3.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$5.00 ,3.00%,,,,,,,No,,,,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$29.00 ,$40.00 ,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Automobile rental insurance; Credit card registration; Extension on manufacturer’s warranty,,Travel-related rewards,,Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Website,https://www.wooriamericabank.com,,3/21/2023
CENTRAL BANK & TRUST COMPANY,Classic Visa,Data as of December 31,Regional,,IN; KY; OH,No,Yes,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),No,,,,,,,,,,,,,,,F,,,,,,,,No,,,,,,,,,Yes,No,,,,16.50%,16.50%,16.50%,16.5,No,Yes,No,,,,16.50%,16.50%,16.50%,Yes,25,No,,Average daily balance including new purchases,,Annual,$20.00 ,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,$5.00 or if balance is less than $5.00 then the balance,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Automobile rental insurance; Other,Roadside assistance,,,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.centralbank.com,(800)637-6884,3/22/2023
CLEARWATER FEDERAL CREDIT UNION,Visa,Data as of December 31,National,,,,No,Other. Please Describe:,,,Person must qualify for membership based on the field of membership requirement laid out in Clearwater Credit Union's charter.,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,No,,F,,15.90%,10.90%,7.90%,7.90%,,16.90%,No,,,,,,,,,Yes,Yes,15.90%,10.90%,7.90%,7.90%,,16.90%,6,No,Yes,Yes,15.90%,10.90%,7.90%,7.90%,,16.90%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,"5% of the payment due, minimum $15.00 not to exceed $27.00",,,,,No,,,,,,,,Yes,No,Returned Payment Fee,$10.00 ,Whenever a payment is returned for any reason.,,,,,,,,,,,,,,,,,Debt cancellation coverage; Other,Visa's credit monitoring (Norton Lifelock credit benefit) provided by Visa to all Visa branded consumer cardholders.,,,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.clearwatercreditunion.org,800-254-1803,3/22/2023
"CONVERSE COUNTY BANK, THE",Converse County Bank Credit Card,Data as of December 31,National,,,,No,,,,,No,Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,No,,F,,16.80%,12.90%,12.90%,12.90%,,16.80%,No,,,,,,,,,Yes,Yes,16.80%,12.90%,12.90%,12.90%,,16.80%,0,Yes,Yes,Yes,16.80%,12.90%,12.90%,12.90%,,16.80%,Yes,30,No,,Average daily balance excluding new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$10.00 ,$10.00 ,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Automobile rental insurance; Credit card registration,,Travel-related rewards; Other rewards,"Customers receive points that can be redeemed for either merchandise, gift cards, or travel",Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone,,844-780-5300,3/22/2023
KNOXVILLE TVA EMPLOYEES CREDIT UNION,Visa Platinum,Data as of December 31,National,,,,No,Other. Please Describe:,,,Applicants must qualify for membership based on the Credit Union's field of membership criteria.,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,No,,F,,15.21%,10.96%,7.99%,7.99%,,18.00%,No,,,,,,,,,Yes,Yes,15.21%,10.96%,7.99%,7.99%,,18.00%,0,No,Yes,Yes,15.21%,10.96%,7.99%,7.99%,,18.00%,Yes,25,Yes,$1.50 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$30.00 ,,"Late fee is up to $30, depending on balance. Balances under $30 would not be assessed a fee higher than the balance owed.",,,,,No,,,,,,,,Yes,Yes,ATM cash advance fee,$1.00 ,Charged when a cash advance is done at an ATM not owned by the Credit Union or affiliated with the Credit Union.,Returned Payment Fee,$25.00 ,Fee of up to $25 charged if payment is returned as unpaid.,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Discounts on purchases of goods and services (non travel related),,Cashback rewards; Other rewards,"Gift cards, services, etc.",Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.tvacreditunion.com,800-467-5427,3/22/2023
POLICE CREDIT UNION OF CT,Visa Classic,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,No,,F,,,,,9.99%,9.99%,9.99%,No,,,,,,,,,Yes,No,,,,9.99%,9.99%,9.99%,3,No,Yes,No,,,,9.99%,9.99%,9.99%,Yes,25,Yes,$1.00 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,Yes,1. What is the amount of the first late fee on the account?,$10.00 ,,,,,,,No,,,,,,,,Yes,No,Returned Payment Fee,$18.00 ,Only when a check payment is returned.,,,,,,,,,,,,,,,,,Extension on manufacturer’s warranty,,Travel-related rewards; Other rewards,ScoreCard Rewards Program,Chip card,,Phone,,877-473-3281,3/22/2023
VERMONT STATE EMPLOYEES CREDIT UNION,Vermont Platinum Credit Card,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,10.25%,12.25%,14.25%,No,,,,,,,,,Yes,No,,,,10.25%,10.25%,10.25%,0,No,Yes,No,,,,14.25%,14.25%,14.25%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,"Equal to the required minimum payment if you are five or more days late in making a payment, not to exceed $20.00.",,,,,No,,,,,,,,Yes,Yes,Card Replacement,$10.00 ,Replacing a card.,Expedited Card Replacement Fee,$40.00 ,If there is a rush on a replacement card.,Stop Payment/Revocation of Authorization Fee,$18.00 ,Stop Payment or Revoking a recurring authorization.,Update to Initital Request to Stop Payment/Revocation of Authorization,$1.50 ,To update a stop payment or revocation of authorization.,,,,,,,,Automobile rental insurance; Discounts on purchases of goods and services (non travel related); Other,"Cell phone protection, identity theft protection, roadside assistance.",,,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.vsecu.com,800-371-5162,3/22/2023
ARKANSAS FEDERAL CREDIT UNION,Platinum Classic,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,18.00%,14.99%,10.50%,10.50%,,18.00%,No,,,,,,,,,Yes,Yes,18.00%,14.99%,10.50%,10.50%,,18.00%,180,No,Yes,Yes,18.00%,14.99%,10.50%,10.50%,,18.00%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?,$29.00 ,,,,,,,No,,,,,,,,Yes,Yes,NSF Fee,$25.00 ,When payement returns as NSF,Card replacement fee,$10.00 ,when card is lost and then replaced,Skip Pay fee,$35.00 ,when payment is skipped,Rush Fee,$35.00 ,when card order is requested to be rushed,,,,,,,,,,,,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.afcu.org,,3/23/2023
CAPITAL COMMUNITY BANK,Today Card,Data as of December 31,National,,,,Yes,,,,,No,Poor or fair credit (credit score 619 or less),No,,,,,,,,,,,,,,,F,,,,,,,,No,,,,,,,,,No,,,,,,,,,,No,,,,,,,,Yes,25,Yes,$1.00 ,Average daily balance including new purchases,,Annual,$120.00 ,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$29.00 ,$40.00 ,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores,,,,Contactless Payments; Chip card,,Phone; Website,https://www.todaycard.com,1-833-204-2600,3/23/2023
PINNACLE BANK,visa,Data as of December 31,Regional,,AZ; CO; KS; MO; NE; NM; TX; WY,No,No,Other. Please Describe:,,,need existing bank account with us,No,Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,No,,F,,15.99%,15.99%,10.99%,10.99%,,15.99%,No,,,,,,,,,Yes,Yes,15.99%,15.99%,10.99%,10.99%,,15.99%,12,Yes,Yes,Yes,15.99%,15.99%,10.99%,10.99%,,15.99%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,2.00%,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,2.00%,$2.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,up to $25,,,,,No,,,,,,,,Yes,No,Telephone payment fee,$10.00 ,when calling the IVR,,,,,,,,,,,,,,,,,Automobile rental insurance,,Travel-related rewards; Other rewards,merchandise and gift cards,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.pinnbank.com/,1-800-261-8852,3/23/2023
FARMERS STATE BANK,Visa Platinum Preferred,Data as of December 31,One State/Territory,IA,,Yes,No,Other. Please Describe:,,,must reside in our lending trade area,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,No,,,,0.00%,6.20%,0.00%,Yes,No,,,,0.00%,0.00%,0.00%,6,Yes,No,,,,0.00%,0.00%,0.00%,6,Yes,Yes,No,,,,0.00%,6.20%,0.00%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?,$30.00 ,,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Automobile rental insurance; Extension on manufacturer’s warranty,,Cashback rewards; Travel-related rewards; Other rewards,"merchandise, gift cards, statement credits",Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,http://www.myfsbonline.com,888-461-0821,3/24/2023
WESTMARK CREDIT UNION,Visa Cash Rewards,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,19.00%,17.00%,15.00%,15.00%,,19.00%,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,17.99%,17.99%,17.99%,Yes,27,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,"If your payment is more than 10 days late, we may charge you a fee of 5% of your payment amount or $15, whichever is greater.",,,,,No,,,,,,,,Yes,No,Returned Payment Fee,$20.00 ,"for each returned check, ACH, or other item used for payment returned for non-sufficient funds.",,,,,,,,,,,,,,,,,Access to Free Credit Scores; Debt cancellation coverage,,Cashback rewards,,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.westmark.org/loans/card-services.shtml,800-574-5626,3/27/2023
