,Provider,Product Name,State,Secured Card,Targeted Credit Tiers,APRVariableFixed,APR Credit 1,APR Credit 2,APR Credit 3,Introductory APR Offered?,Intro APR Credit 1,Intro APR Credit 2,Intro APR Credit 3,Intro APR Length,Balance Transfer APR Credit 1,Balance Transfer APR Credit 2,Balance Transfer APR Credit 3,Balance Transfer APR Length,Balance Transfer Grace Period,Grace Period Offered?,Grace Period,Minimum Finance Charge?,Minimum Finance Charge (Dollars),Annualized Periodic Fees,Other Periodic Fee Name,Other Periodic Fee Amount,Other Periodic Fee Frequency,Fee Varies?,Minimum,Maximum,Fee Explanation,Purchase Transaction Fees,Purchase Transaction Fee Type,Purchase Transaction Fee ($),Purchase Transaction Fee (%),Minimum Purchase Transaction Fee Amount,Purchase Transaction Fee Calculation,Fee Varies?.1,Minimum.1,Maximum.1,Fee Explanation.1,Balance Transfer Fees?,Balance Transfer Fee Types,Balance Transfer Fee ($),Balance Transfer Fee (%),Minimum Balance Transfer Fee Amount,Balance Transfer Fee Calculation,Fee Varies?.2,Minimum.2,Maximum.2,Fee Explanation.2,Cash Advance Fees?,Cash Advance Fee For Each Transaction,Cash Advance Fee Types,Amount (Dollars) - Transaction Fee,Amount (Percent) - Transaction Fee,Minimum Cash Advance Fee Amount,Cash Advance Fee Calculation,Fee Varies?.3,Minimum.3,Maximum.3,Fee Explanation.3,Foreign Transaction Fees?,Foreign Transaction Fees Types,Foreign Transaction Fee ($),Foreign Transaction Fee (%),Minimum Foreign Transaction Fee Amount,Foreign Transaction Fee Calculation,Fee Varies?.4,Minimum.4,Maximum.4,Fee Explanation.4,Late Fee,Very Late Fee,Over Limit Fees?,Over Limit Fee Types,Amount (Dollars) - Over Credit Limit,Overlimit Fee Detail,Fee Varies?.6,Minimum.6,Maximum.6,Fee Explanation.6,Other Fees,Additional Fees,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name.1,Other Fee Amount.1,Other Fee Explanation.1,Other Fee Name.2,Other Fee Amount.2,Other Fee Explanation.2,Other Fee Name.3,Other Fee Amount.3,Other Fee Explanation.3,Other Fee Name.4,Other Fee Amount.4,Other Fee Explanation.4,Fee Varies?.7,Minimum.7,Maximum.7,Fee Explanation.7,Services,Other Services,Rewards,Other Rewards,Card Features,Other Card Features,Contact Information Types,Website for Consumer,Telephone Number for Consumers,Created Date
0,FNBT BANK,MasterCard,,No,"""2""",F,999.0,14.9,14.9,No,999.0,999.0,999.0,,999.0,14.9,14.9,0.0,No,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,3.00%,,3% of transfer amount,,,,,Yes,No,"2. If the fee is a percentage of transaction amount, what is it?",,2.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,10.0,0.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,Cashback rewards,,Chip card,,Phone; Website,https:www.fnbt.com,1-800-899-4321,3/21/2023
1,WINTHROP AREA FEDERAL CREDIT UNION,Visa Credit Platinum,,No,"""23""",F,999.0,11.5,11.5,No,999.0,999.0,999.0,,999.0,0.0,11.5,6.0,Yes,Yes,25.0,Yes,$0.01 ,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,0.0,0.0,Yes,1. What is the amount of the overlimit fee when charged?,$20.00 ,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,Cashback rewards; Travel-related rewards,,Contactless Payments; Chip card; Fee-free foreign transactions,,Phone; Website,https://www.winthropcreditunion.org,800-511-1120,3/21/2023
2,WOORI AMERICA BANK,Classic,,No,"""23""",V,999.0,20.99,20.99,No,999.0,999.0,999.0,,999.0,20.99,20.99,6.0,Yes,Yes,6.0,Yes,$0.50 ,50.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$5.00 ,3.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$5.00 ,3.00%,,,,,,,No,,,,,,,,,,29.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Automobile rental insurance; Credit card registration; Extension on manufacturer’s warranty,,Travel-related rewards,,Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Website,https://www.wooriamericabank.com,,3/21/2023
5,"CONVERSE COUNTY BANK, THE",Converse County Bank Credit Card,,No,"""23""",F,999.0,12.9,12.9,No,999.0,999.0,999.0,,999.0,12.9,12.9,0.0,Yes,Yes,30.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,10.0,10.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Automobile rental insurance; Credit card registration,,Travel-related rewards; Other rewards,"Customers receive points that can be redeemed for either merchandise, gift cards, or travel",Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone,,844-780-5300,3/22/2023
8,VERMONT STATE EMPLOYEES CREDIT UNION,Vermont Platinum Credit Card,,No,"""123""",V,14.25,12.25,10.25,No,999.0,999.0,999.0,,10.25,10.25,10.25,0.0,No,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,0.0,0.0,No,,,,,,,,Yes,Yes,Card Replacement,$10.00 ,Replacing a card.,Expedited Card Replacement Fee,$40.00 ,If there is a rush on a replacement card.,Stop Payment/Revocation of Authorization Fee,$18.00 ,Stop Payment or Revoking a recurring authorization.,Update to Initital Request to Stop Payment/Revocation of Authorization,$1.50 ,To update a stop payment or revocation of authorization.,,,,,,,,Automobile rental insurance; Discounts on purchases of goods and services (non travel related); Other,"Cell phone protection, identity theft protection, roadside assistance.",,,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.vsecu.com,800-371-5162,3/22/2023
9,ARKANSAS FEDERAL CREDIT UNION,Platinum Classic,,No,"""123""",V,18.0,14.99,10.5,No,999.0,999.0,999.0,,18.0,14.99,10.5,180.0,No,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,29.0,0.0,No,,,,,,,,Yes,Yes,NSF Fee,$25.00 ,When payement returns as NSF,Card replacement fee,$10.00 ,when card is lost and then replaced,Skip Pay fee,$35.00 ,when payment is skipped,Rush Fee,$35.00 ,when card order is requested to be rushed,,,,,,,,,,,,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.afcu.org,,3/23/2023
13,WESTMARK CREDIT UNION,Visa Cash Rewards,,No,"""123""",V,19.0,17.0,15.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,0.0,0.0,No,,,,,,,,Yes,No,Returned Payment Fee,$20.00 ,"for each returned check, ACH, or other item used for payment returned for non-sufficient funds.",,,,,,,,,,,,,,,,,Access to Free Credit Scores; Debt cancellation coverage,,Cashback rewards,,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.westmark.org/loans/card-services.shtml,800-574-5626,3/27/2023
17,WASHINGTON STATE EMPLOYEES CREDIT UNION,WSECU Low Rate,,No,"""123""",V,22.25,15.0,11.75,No,999.0,999.0,999.0,,22.25,15.0,11.75,9.0,Yes,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?",,2.50%,,,,,,,No,,,,,,,,,,25.0,25.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Other,Introductory 0% balance transfer offer for first 60 days.,,,Chip card; Fee-free foreign transactions,,Phone; Website,https://www.wsecu.org,800-562-0999,3/29/2023
18,ALTRA FEDERAL CREDIT UNION,NOW Non-Rewards Card,,No,"""123""",V,16.65,14.65,12.65,Yes,9.9,7.9,5.9,3.0,9.9,7.9,5.9,62.0,Yes,Yes,30.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"$15 or 5%, whichever is greater.",,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,25.0,25.0,No,,,,,,,,Yes,Yes,Returned Payment Fee,$25.00 ,When there is a returned payment.,Card Replacement Fee,$5.00 ,"New plastic needed before reissue, and not due to fraud.",Statement/Document Copy Fee,$5.00 ,Replacement Statement/Document,Rush Fee,$15.00 ,Overnight delivery fee if a rush is requested.,Balance Transfer Stop Payment Fee,$25.00 ,If a stop payment is requested on a balance transfer.,,,,,,,,,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.altra.org,800-755-0055,3/30/2023
20,"CITIBANK, N.A.",TSC Visa,,No,"""123""",V,30.49,30.49,30.49,No,999.0,999.0,999.0,,30.49,30.49,30.49,2.0,Yes,Yes,25.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Website,https://citiretailservices.citibankonline.com/RSnexgen/svc/launch/index.action?siteid=Plcn_TRACTORSUPPLY,,3/31/2023
